Epoch 79 - Train Loss: 3.3401 (vdw: 1.0592, elec: 0.9853, solv: 0.0932, hbond: 1.2025) | Validation Loss: 4.5118 (vdw: 1.8221, elec: 1.3874, solv: 0.1079, hbond: 1.1944) | LR: 2.0e-06
Epoch 80 - Train Loss: 3.3398 (vdw: 1.0255, elec: 0.9963, solv: 0.0933, hbond: 1.2247) | Validation Loss: 4.0111 (vdw: 1.7235, elec: 1.3211, solv: 0.1032, hbond: 0.8632) | LR: 2.0e-06
Epoch 81 - Train Loss: 3.5412 (vdw: 1.1958, elec: 1.0731, solv: 0.0949, hbond: 1.1775) | Validation Loss: 3.7955 (vdw: 1.5903, elec: 1.3390, solv: 0.1073, hbond: 0.7590) | LR: 2.0e-06
Epoch 82 - Train Loss: 3.3312 (vdw: 1.1284, elec: 1.0408, solv: 0.0921, hbond: 1.0698) | Validation Loss: 4.0933 (vdw: 1.5486, elec: 1.3324, solv: 0.1079, hbond: 1.1045) | LR: 2.0e-06
Epoch 83 - Train Loss: 3.2162 (vdw: 1.1358, elec: 1.0358, solv: 0.0933, hbond: 0.9514) | Validation Loss: 3.8318 (vdw: 1.4223, elec: 1.2975, solv: 0.1061, hbond: 1.0060) | LR: 2.0e-06
Epoch 84 - Train Loss: 3.1966 (vdw: 1.0970, elec: 0.9960, solv: 0.0899, hbond: 1.0137) | Validation Loss: 3.6123 (vdw: 1.4560, elec: 1.3037, solv: 0.1012, hbond: 0.7513) | LR: 9.8e-07
Epoch 85 - Train Loss: 3.1416 (vdw: 1.0880, elec: 1.0427, solv: 0.0948, hbond: 0.9161) | Validation Loss: 3.8250 (vdw: 1.4793, elec: 1.2829, solv: 0.1034, hbond: 0.9593) | LR: 9.8e-07
Epoch 86 - Train Loss: 3.3880 (vdw: 1.1349, elec: 1.0372, solv: 0.0943, hbond: 1.1215) | Validation Loss: 4.1295 (vdw: 1.4892, elec: 1.3064, solv: 0.1106, hbond: 1.2233) | LR: 9.8e-07
Epoch 87 - Train Loss: 3.4565 (vdw: 1.1850, elec: 1.1014, solv: 0.0948, hbond: 1.0753) | Validation Loss: 4.4076 (vdw: 1.8914, elec: 1.4368, solv: 0.1128, hbond: 0.9667) | LR: 9.8e-07
Epoch 88 - Train Loss: 3.2270 (vdw: 1.0963, elec: 1.0422, solv: 0.0946, hbond: 0.9938) | Validation Loss: 4.0503 (vdw: 1.3879, elec: 1.3353, solv: 0.1032, hbond: 1.2238) | LR: 9.8e-07
Epoch 89 - Train Loss: 3.3403 (vdw: 1.1452, elec: 1.0402, solv: 0.0952, hbond: 1.0597) | Validation Loss: 6.6077 (vdw: 1.6152, elec: 1.3352, solv: 0.1029, hbond: 3.5543) | LR: 9.8e-07
Epoch 90 - Train Loss: 3.2893 (vdw: 1.0267, elec: 0.9899, solv: 0.0924, hbond: 1.1803) | Validation Loss: 3.9413 (vdw: 1.7496, elec: 1.3046, solv: 0.1022, hbond: 0.7848) | LR: 4.9e-07
Epoch 91 - Train Loss: 3.3476 (vdw: 1.1758, elec: 1.0759, solv: 0.0959, hbond: 1.0000) | Validation Loss: 4.1484 (vdw: 1.5373, elec: 1.3467, solv: 0.1052, hbond: 1.1592) | LR: 4.9e-07
Epoch 92 - Train Loss: 3.4322 (vdw: 1.0831, elec: 1.0305, solv: 0.0932, hbond: 1.2254) | Validation Loss: 3.9530 (vdw: 1.5818, elec: 1.1581, solv: 0.1046, hbond: 1.1084) | LR: 4.9e-07
Epoch 93 - Train Loss: 3.6092 (vdw: 1.3590, elec: 1.1802, solv: 0.0991, hbond: 0.9709) | Validation Loss: 4.2425 (vdw: 1.3937, elec: 1.3054, solv: 0.1053, hbond: 1.4382) | LR: 4.9e-07
Epoch 94 - Train Loss: 3.1426 (vdw: 1.0305, elec: 1.0310, solv: 0.0985, hbond: 0.9826) | Validation Loss: 3.5104 (vdw: 1.2273, elec: 1.3346, solv: 0.1011, hbond: 0.8474) | LR: 4.9e-07
Epoch 95 - Train Loss: 3.2811 (vdw: 1.1195, elec: 1.0030, solv: 0.0921, hbond: 1.0664) | Validation Loss: 4.5494 (vdw: 1.7817, elec: 1.4032, solv: 0.1113, hbond: 1.2532) | LR: 4.9e-07
Epoch 96 - Train Loss: 2.9715 (vdw: 0.9223, elec: 0.9823, solv: 0.0928, hbond: 0.9740) | Validation Loss: 4.1943 (vdw: 1.4912, elec: 1.2898, solv: 0.1072, hbond: 1.3060) | LR: 2.4e-07
Epoch 97 - Train Loss: 3.6423 (vdw: 1.1396, elec: 1.0797, solv: 0.0938, hbond: 1.3291) | Validation Loss: 4.0937 (vdw: 1.6542, elec: 1.3103, solv: 0.1045, hbond: 1.0248) | LR: 2.4e-07
Epoch 98 - Train Loss: 3.8815 (vdw: 1.3327, elec: 1.1213, solv: 0.0941, hbond: 1.3334) | Validation Loss: 3.9300 (vdw: 1.5356, elec: 1.2892, solv: 0.1086, hbond: 0.9965) | LR: 2.4e-07
Epoch 99 - Train Loss: 3.7833 (vdw: 1.0783, elec: 0.9971, solv: 0.0923, hbond: 1.6156) | Validation Loss: 4.1949 (vdw: 1.7446, elec: 1.3578, solv: 0.1077, hbond: 0.9848) | LR: 2.4e-07
Epoch 100 - Train Loss: 3.3405 (vdw: 1.1118, elec: 1.0614, solv: 0.0947, hbond: 1.0727) | Validation Loss: 3.8525 (vdw: 1.2632, elec: 1.2375, solv: 0.1018, hbond: 1.2499) | LR: 2.4e-07
Epoch 101 - Train Loss: 3.4950 (vdw: 0.9954, elec: 1.0038, solv: 0.0914, hbond: 1.4044) | Validation Loss: 3.3605 (vdw: 1.3137, elec: 1.1555, solv: 0.1067, hbond: 0.7847) | LR: 2.4e-07
Epoch 102 - Train Loss: 3.2924 (vdw: 1.2087, elec: 1.0755, solv: 0.0948, hbond: 0.9134) | Validation Loss: 3.3814 (vdw: 1.2221, elec: 1.2931, solv: 0.1030, hbond: 0.7633) | LR: 1.2e-07
Epoch 103 - Train Loss: 3.2815 (vdw: 1.1150, elec: 1.0662, solv: 0.0932, hbond: 1.0071) | Validation Loss: 5.4727 (vdw: 1.8256, elec: 1.3184, solv: 0.1060, hbond: 2.2227) | LR: 1.2e-07
Epoch 104 - Train Loss: 3.3109 (vdw: 1.1540, elec: 1.0205, solv: 0.0937, hbond: 1.0427) | Validation Loss: 4.4895 (vdw: 1.7967, elec: 1.3533, solv: 0.1066, hbond: 1.2328) | LR: 1.2e-07
Epoch 105 - Train Loss: 3.6252 (vdw: 1.2811, elec: 1.1361, solv: 0.0966, hbond: 1.1114) | Validation Loss: 3.6564 (vdw: 1.2813, elec: 1.3005, solv: 0.1180, hbond: 0.9566) | LR: 1.2e-07
Epoch 106 - Train Loss: 3.2970 (vdw: 1.1136, elec: 1.0255, solv: 0.0937, hbond: 1.0642) | Validation Loss: 3.9550 (vdw: 1.2744, elec: 1.3316, solv: 0.1026, hbond: 1.2464) | LR: 1.2e-07
Epoch 107 - Train Loss: 3.3104 (vdw: 1.1563, elec: 1.0197, solv: 0.0939, hbond: 1.0404) | Validation Loss: 3.9726 (vdw: 1.5729, elec: 1.3491, solv: 0.1024, hbond: 0.9481) | LR: 1.2e-07
Epoch 108 - Train Loss: 3.2110 (vdw: 1.1875, elec: 1.0917, solv: 0.0945, hbond: 0.8374) | Validation Loss: 3.5782 (vdw: 1.1476, elec: 1.2007, solv: 0.1009, hbond: 1.1290) | LR: 6.1e-08
Epoch 109 - Train Loss: 3.3646 (vdw: 1.0253, elec: 0.9673, solv: 0.0900, hbond: 1.2821) | Validation Loss: 3.8950 (vdw: 1.6620, elec: 1.3452, solv: 0.1057, hbond: 0.7821) | LR: 6.1e-08
Epoch 110 - Train Loss: 3.8496 (vdw: 1.1532, elec: 1.0266, solv: 0.0955, hbond: 1.5744) | Validation Loss: 3.7432 (vdw: 1.4796, elec: 1.2752, solv: 0.1083, hbond: 0.8801) | LR: 6.1e-08
