Epoch 62 - Train Loss: 1.3002 (enthalpy: 0.7807, entropy: 0.0282, affinity: 0.0249, rank: 0.4664) | Validation Loss: 0.9127 (enthalpy: 0.0410, entropy: 0.0270, affinity: 0.1022, rank: 0.7425) | LR: 6.3e-06
Epoch 63 - Train Loss: 1.0248 (enthalpy: 0.5279, entropy: 0.0295, affinity: 0.0282, rank: 0.4392) | Validation Loss: 0.9110 (enthalpy: 0.0410, entropy: 0.0284, affinity: 0.1021, rank: 0.7395) | LR: 6.3e-06
Epoch 64 - Train Loss: 1.4285 (enthalpy: 0.8954, entropy: 0.0350, affinity: 0.0301, rank: 0.4680) | Validation Loss: 0.9074 (enthalpy: 0.0409, entropy: 0.0295, affinity: 0.1013, rank: 0.7357) | LR: 6.3e-06
Epoch 65 - Train Loss: 1.2843 (enthalpy: 0.7799, entropy: 0.0296, affinity: 0.0238, rank: 0.4511) | Validation Loss: 0.9030 (enthalpy: 0.0409, entropy: 0.0275, affinity: 0.1018, rank: 0.7328) | LR: 6.3e-06
Epoch 66 - Train Loss: 1.9423 (enthalpy: 1.4544, entropy: 0.0287, affinity: 0.0265, rank: 0.4327) | Validation Loss: 0.9082 (enthalpy: 0.0410, entropy: 0.0275, affinity: 0.1028, rank: 0.7370) | LR: 6.3e-06
Epoch 67 - Train Loss: 1.2112 (enthalpy: 0.6982, entropy: 0.0312, affinity: 0.0270, rank: 0.4548) | Validation Loss: 0.9229 (enthalpy: 0.0410, entropy: 0.0271, affinity: 0.1034, rank: 0.7514) | LR: 6.3e-06
Epoch 68 - Train Loss: 1.9528 (enthalpy: 1.4502, entropy: 0.0296, affinity: 0.0268, rank: 0.4462) | Validation Loss: 0.9120 (enthalpy: 0.0410, entropy: 0.0268, affinity: 0.1035, rank: 0.7408) | LR: 3.1e-06
Epoch 69 - Train Loss: 1.5984 (enthalpy: 1.0889, entropy: 0.0321, affinity: 0.0265, rank: 0.4509) | Validation Loss: 0.9248 (enthalpy: 0.0410, entropy: 0.0267, affinity: 0.1039, rank: 0.7531) | LR: 3.1e-06
Epoch 70 - Train Loss: 1.0316 (enthalpy: 0.5546, entropy: 0.0318, affinity: 0.0269, rank: 0.4183) | Validation Loss: 0.9196 (enthalpy: 0.0410, entropy: 0.0271, affinity: 0.1031, rank: 0.7484) | LR: 3.1e-06
Epoch 71 - Train Loss: 2.1817 (enthalpy: 1.6576, entropy: 0.0311, affinity: 0.0289, rank: 0.4641) | Validation Loss: 0.9091 (enthalpy: 0.0409, entropy: 0.0274, affinity: 0.1022, rank: 0.7386) | LR: 3.1e-06
Epoch 72 - Train Loss: 1.2543 (enthalpy: 0.7398, entropy: 0.0311, affinity: 0.0454, rank: 0.4380) | Validation Loss: 0.9159 (enthalpy: 0.0410, entropy: 0.0262, affinity: 0.1032, rank: 0.7455) | LR: 3.1e-06
Epoch 73 - Train Loss: 0.9877 (enthalpy: 0.4751, entropy: 0.0288, affinity: 0.0248, rank: 0.4590) | Validation Loss: 0.9128 (enthalpy: 0.0409, entropy: 0.0270, affinity: 0.1024, rank: 0.7424) | LR: 3.1e-06
Epoch 74 - Train Loss: 1.2516 (enthalpy: 0.6880, entropy: 0.0300, affinity: 0.0241, rank: 0.5094) | Validation Loss: 0.9092 (enthalpy: 0.0410, entropy: 0.0261, affinity: 0.1036, rank: 0.7385) | LR: 3.1e-06
Epoch 75 - Train Loss: 1.9617 (enthalpy: 1.4994, entropy: 0.0296, affinity: 0.0246, rank: 0.4081) | Validation Loss: 0.9220 (enthalpy: 0.0410, entropy: 0.0269, affinity: 0.1034, rank: 0.7507) | LR: 3.1e-06
Epoch 76 - Train Loss: 1.1892 (enthalpy: 0.6744, entropy: 0.0288, affinity: 0.0211, rank: 0.4650) | Validation Loss: 0.9261 (enthalpy: 0.0410, entropy: 0.0275, affinity: 0.1031, rank: 0.7545) | LR: 3.1e-06
Epoch 77 - Train Loss: 1.9900 (enthalpy: 1.4632, entropy: 0.0313, affinity: 0.0272, rank: 0.4682) | Validation Loss: 0.9148 (enthalpy: 0.0410, entropy: 0.0272, affinity: 0.1029, rank: 0.7438) | LR: 3.1e-06
